10B,0
12E,0
13B,0
15E,0
17B,0
18E,0
19B,0
201,0
202,0
206,0
207,0
208,0
210,0
22B,0
24E,0
25E,0
26B,0
28E,0
29B,0
31B,0
32B,0
34B,0
37B,0
40B,0
41B,0
43B,0
44B,0
46B,0
51E,0
52B,0
52E,0
53E,0
54E,0
55B,0
58B,0
61B,0
64B,0
701,0
702,0
703,0
705,0
706,0
708,0
709,0
70B,0
711,0
712,0
713,0
714,0
716,0
717,0
718,0
720,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
734,0
735,0
736,0
737,0
738,0
73B,0
742,0
744,0
746,0
747,0
748,0
750,0
751,0
753,0
754,0
755,0
758,0
759,0
760,0
764,0
767,0
768,0
76B,0
770,0
773,0
774,0
776,0
778,0
781,0
783,0
793,0
794,0
796,0
797,0
799,0
79B,0
98D,0
AlAz,1
AlCa,1
AlSi,1
AzSa,1
BaPr,1
BaSe,1
CaCa,1
CaOe,1
MiRo,1
OrSi,1
RoSi,1
