trip_id,start_time,end_time,headway_secs,exact_times
28271969,10:01:00,10:09:00,480,1
28271972,10:18:00,10:26:00,480,1
28271975,10:35:00,10:43:00,480,1
28271978,10:52:00,11:00:00,480,1
28271981,11:09:00,11:17:00,480,1
28271984,11:26:00,11:34:00,480,1
28271987,11:43:00,11:51:00,480,1
28271990,12:00:00,12:08:00,480,1
28271993,12:17:00,12:25:00,480,1
28271996,12:34:00,12:42:00,480,1
28242035,21:30:00,22:10:00,1200,1
28246963,07:30:00,20:55:00,2100,1
28246953,07:30:00,19:10:00,2100,1
28257336,07:05:00,07:45:00,2400,1
28257337,08:20:00,20:35:00,2100,1
28257320,07:05:00,07:45:00,2400,1
28257323,08:20:00,19:25:00,2100,1
28293084,07:23:00,08:05:00,2520,1
28293085,08:40:00,20:55:00,2100,1
28293068,07:23:00,08:05:00,2520,1
28293071,08:40:00,19:10:00,2100,1
28226035,07:05:00,21:15:00,1500,1
28226025,07:05:00,19:35:00,1500,1
28226287,07:45:00,08:16:00,1860,1
28226288,08:48:00,09:19:00,1860,1
28226289,09:51:00,14:07:00,1920,1
28226290,14:40:00,18:45:00,2100,1
28226291,19:21:00,21:09:00,2160,1
28226253,07:45:00,08:16:00,1860,1
28226256,08:48:00,09:19:00,1860,1
28226259,09:51:00,14:07:00,1920,1
28226262,14:40:00,18:45:00,2100,1
28289907,07:00:00,19:45:00,2700,1
28289897,07:00:00,19:00:00,2700,1
28237790,07:27:00,08:09:00,2520,1
28237791,08:54:00,09:39:00,2700,1
28237792,10:22:00,18:37:00,2700,1
28237765,07:27:00,08:09:00,2520,1
28237768,08:54:00,09:39:00,2700,1
28237771,10:22:00,18:37:00,2700,1
28243307,09:15:00,09:25:00,600,1
28243308,09:36:00,21:12:00,720,1
28243309,21:25:00,23:40:00,900,1
28243215,08:45:00,09:25:00,600,1
28243218,09:36:00,22:12:00,720,1
28243221,22:25:00,23:40:00,900,1
28224540,09:15:00,09:25:00,600,1
28224541,09:36:00,21:12:00,720,1
28224542,21:25:00,23:40:00,900,1
28224448,08:45:00,09:25:00,600,1
28224451,09:36:00,22:12:00,720,1
28224454,22:25:00,23:40:00,900,1
28281912,09:00:00,19:15:00,900,1
28281896,09:00:00,19:15:00,900,1
28266049,09:00:00,19:15:00,900,1
28266033,09:00:00,19:15:00,900,1
28253154,08:50:00,09:00:00,600,1
28253155,09:15:00,20:45:00,900,1
28253138,06:45:00,06:50:00,300,1
28253141,07:00:00,20:00:00,900,1
28234229,08:50:00,09:00:00,600,1
28234230,09:15:00,20:45:00,900,1
28234213,06:45:00,06:50:00,300,1
28234216,07:00:00,20:00:00,900,1
28281678,07:20:00,07:30:00,600,1
