service_id,date,exception_type
28292727,20220425,1
28292727,20220613,1
28292727,20220301,1
28292727,20221101,1
28292727,20221005,1
28292727,20220616,1
28292727,20221201,1
28292727,20221208,1
28292727,20220610,1
28292728,20220425,1
28292728,20220613,1
28292728,20220301,1
28292728,20221101,1
28292728,20221005,1
28292728,20220616,1
28292728,20221201,1
28292728,20221208,1
28292728,20220610,1
28292729,20220425,1
28292729,20220613,1
28292729,20220301,1
28292729,20221101,1
28292729,20221005,1
28292729,20220616,1
28292729,20221201,1
28292729,20221208,1
28292729,20220610,1
28292730,20220425,1
28292730,20220613,1
28292730,20220301,1
28292730,20221101,1
28292730,20221005,1
28292730,20220616,1
28292730,20221201,1
28292730,20221208,1
28292730,20220610,1
28292731,20220425,1
28292731,20220613,1
28292731,20220301,1
28292731,20221101,1
28292731,20221005,1
28292731,20220616,1
28292731,20221201,1
28292731,20221208,1
28292731,20220610,1
28292732,20220425,1
28292732,20220613,1
28292732,20220301,1
28292732,20221101,1
28292732,20221005,1
28292732,20220616,1
28292732,20221201,1
28292732,20221208,1
28292732,20220610,1
28292733,20220425,1
28292733,20220613,1
28292733,20220301,1
28292733,20221101,1
28292733,20221005,1
28292733,20220616,1
28292733,20221201,1
28292733,20221208,1
28292733,20220610,1
28292734,20220425,1
28292734,20220613,1
28292734,20220301,1
28292734,20221101,1
28292734,20221005,1
28292734,20220616,1
28292734,20221201,1
28292734,20221208,1
28292734,20220610,1
28292735,20220425,1
28292735,20220613,1
28292735,20220301,1
28292735,20221101,1
28292735,20221005,1
28292735,20220616,1
28292735,20221201,1
28292735,20221208,1
28292735,20220610,1
28292736,20220425,1
28292736,20220613,1
28292736,20220301,1
28292736,20221101,1
28292736,20221005,1
28292736,20220616,1
28292736,20221201,1
28292736,20221208,1
28292736,20220610,1
28292737,20220425,1
28292737,20220613,1
28292737,20220301,1
28292737,20221101,1
28292737,20221005,1
28292737,20220616,1
28292737,20221201,1
28292737,20221208,1
28292737,20220610,1
28292738,20220425,1
28292738,20220613,1
28292738,20220301,1
28292738,20221101,1
28292738,20221005,1
28292738,20220616,1
28292738,20221201,1
28292738,20221208,1
28292738,20220610,1
28292739,20220425,1
28292739,20220613,1
28292739,20220301,1
28292739,20221101,1
28292739,20221005,1
28292739,20220616,1
28292739,20221201,1
28292739,20221208,1
28292739,20220610,1
28292740,20220425,1
28292740,20220613,1
28292740,20220301,1
28292740,20221101,1
28292740,20221005,1
28292740,20220616,1
28292740,20221201,1
28292740,20221208,1
28292740,20220610,1
28292741,20220425,1
28292741,20220613,1
28292741,20220301,1
28292741,20221101,1
28292741,20221005,1
28292741,20220616,1
28292741,20221201,1
28292741,20221208,1
28292741,20220610,1
28292742,20220425,1
28292742,20220613,1
28292742,20220301,1
28292742,20221101,1
28292742,20221005,1
28292742,20220616,1
28292742,20221201,1
28292742,20221208,1
28292742,20220610,1
28292743,20220425,1
28292743,20220613,1
28292743,20220301,1
28292743,20221101,1
28292743,20221005,1
28292743,20220616,1
28292743,20221201,1
28292743,20221208,1
28292743,20220610,1
28292744,20220425,1
28292744,20220613,1
28292744,20220301,1
28292744,20221101,1
28292744,20221005,1
28292744,20220616,1
28292744,20221201,1
28292744,20221208,1
28292744,20220610,1
28292745,20220425,1
28292745,20220613,1
28292745,20220301,1
28292745,20221101,1
28292745,20221005,1
28292745,20220616,1
28292745,20221201,1
28292745,20221208,1
28292745,20220610,1
28292746,20220425,1
28292746,20220613,1
28292746,20220301,1
28292746,20221101,1
28292746,20221005,1
28292746,20220616,1
28292746,20221201,1
28292746,20221208,1
28292746,20220610,1
28292747,20220425,1
28292747,20220613,1
28292747,20220301,1
28292747,20221101,1
28292747,20221005,1
28292747,20220616,1
28292747,20221201,1
28292747,20221208,1
28292747,20220610,1
28292748,20220425,1
28292748,20220613,1
28292748,20220301,1
28292748,20221101,1
28292748,20221005,1
28292748,20220616,1
28292748,20221201,1
28292748,20221208,1
28292748,20220610,1
28292749,20220425,1
28292749,20220613,1
28292749,20220301,1
28292749,20221101,1
28292749,20221005,1
28292749,20220616,1
28292749,20221201,1
28292749,20221208,1
28292749,20220610,1
28292750,20220425,1
28292750,20220613,1
28292750,20220301,1
28292750,20221101,1
28292750,20221005,1
28292750,20220616,1
28292750,20221201,1
28292750,20221208,1
28292750,20220610,1
28292751,20220425,1
28292751,20220613,1
28292751,20220301,1
28292751,20221101,1
28292751,20221005,1
28292751,20220616,1
28292751,20221201,1
28292751,20221208,1
28292751,20220610,1
28292752,20220425,1
28292752,20220613,1
28292752,20220301,1
28292752,20221101,1
28292752,20221005,1
28292752,20220616,1
28292752,20221201,1
28292752,20221208,1
28292752,20220610,1
28292753,20220425,1
28292753,20220613,1
28292753,20220301,1
28292753,20221101,1
28292753,20221005,1
28292753,20220616,1
28292753,20221201,1
28292753,20221208,1
28292753,20220610,1
28292754,20220425,1
28292754,20220613,1
28292754,20220301,1
28292754,20221101,1
28292754,20221005,1
28292754,20220616,1
28292754,20221201,1
28292754,20221208,1
28292754,20220610,1
28292755,20220425,1
28292755,20220613,1
28292755,20220301,1
28292755,20221101,1
28292755,20221005,1
28292755,20220616,1
28292755,20221201,1
28292755,20221208,1
28292755,20220610,1
