shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_202DESC0_6120_8512,193034,38.723824,-9.160918,33,
1_202DESC0_8512_8514,193034,38.720711,-9.160725,34,
1_202DESC0_8514_6815,193034,38.720327,-9.159051,35,
1_202DESC0_6815_6813,193034,38.720768,-9.15632,36,
1_202DESC0_6813_6807,193034,38.719915,-9.154695,37,
1_202DESC0_6807_10608,193034,38.717537,-9.151047,38,
1_202DESC0_10608_10606,193034,38.716657,-9.148516,39,
1_202DESC0_10606_10604,193034,38.715457,-9.145094,40,
1_202DESC0_10604_10602,193034,38.714502,-9.144355,41,
1_202DESC0_10602_10504,193034,38.71255,-9.143213,42,
1_202DESC0_10504_10502,193034,38.709942,-9.143156,43,
1_202DESC0_10502_3826,193034,38.708063,-9.143406,44,
1_202DESC0_3826_3811,193034,38.705772,-9.143901,45,
1_202DESC1_13911_13710,193035,38.757659,-9.20471,1,
1_202DESC1_13710_13709,193035,38.756591,-9.204792,2,
1_202DESC1_13709_10927,193035,38.753952,-9.206263,3,
1_202DESC1_10927_11001,193035,38.752708,-9.208781,4,
1_202DESC1_11001_2903,193035,38.75022,-9.20768,5,
1_202DESC1_2903_2910,193035,38.747835,-9.20738,6,
1_202DESC1_2910_2907,193035,38.745954,-9.206514,7,
1_202DESC1_2907_8813,193035,38.74511,-9.202743,8,
1_202DESC1_8813_2811,193035,38.744722,-9.199043,9,
1_202DESC1_2811_2803,193035,38.747316,-9.19775,10,
1_202DESC1_2803_10907,193035,38.749779,-9.197506,11,
1_202DESC1_10907_10835,193035,38.749738,-9.194272,12,
1_202DESC1_10835_10803,193035,38.748204,-9.192571,13,
1_202DESC1_10803_10821,193035,38.747044,-9.188303,14,
1_202DESC1_10821_10829,193035,38.746696,-9.184594,15,
1_202DESC1_10829_10701,193035,38.745559,-9.18176,16,
1_202DESC1_10701_10703,193035,38.744338,-9.178742,17,
1_202DESC1_10703_10705,193035,38.743596,-9.176139,18,
1_202DESC1_10705_1615,193035,38.742419,-9.172408,19,
1_202DESC1_1615_1610,193035,38.742,-9.169435,20,
1_202DESC1_1610_2712,193035,38.738826,-9.168528,21,
1_202DESC1_2712_2710,193035,38.735177,-9.165441,22,
1_202DESC1_2710_6124,193035,38.732207,-9.162741,23,
1_202DESC1_6124_6122,193035,38.72932,-9.162442,24,
1_202DESC1_6122_6101,193035,38.727591,-9.161782,25,
1_202DESC1_6101_6120,193035,38.726441,-9.161478,26,
1_202DESC1_6120_8512,193035,38.723824,-9.160918,27,
1_202DESC1_8512_8514,193035,38.720711,-9.160725,28,
1_202DESC1_8514_6815,193035,38.720327,-9.159051,29,
1_202DESC1_6815_6813,193035,38.720768,-9.15632,30,
1_202DESC1_6813_6807,193035,38.719915,-9.154695,31,
1_202DESC1_6807_10608,193035,38.717537,-9.151047,32,
1_202DESC1_10608_10606,193035,38.716657,-9.148516,33,
1_202DESC1_10606_10604,193035,38.715457,-9.145094,34,
1_202DESC1_10604_10602,193035,38.714502,-9.144355,35,
1_202DESC1_10602_10504,193035,38.71255,-9.143213,36,
1_202DESC1_10504_10502,193035,38.709942,-9.143156,37,
1_202DESC1_10502_3826,193035,38.708063,-9.143406,38,
1_202DESC1_3826_3811,193035,38.705772,-9.143901,39,
1_207ASC0_3812_3824,193039,38.70699,-9.142206,1,
1_207ASC0_3824_5519,193039,38.709676,-9.136384,2,
1_207ASC0_5519_901,193039,38.714269,-9.139119,3,
1_207ASC0_901_1003,193039,38.715976,-9.141625,4,
1_207ASC0_1003_1103,193039,38.71974,-9.145015,5,
1_207ASC0_1103_1225,193039,38.726303,-9.149265,6,
1_207ASC0_1225_1701,193039,38.728781,-9.147763,7,
1_207ASC0_1701_1703,193039,38.730498,-9.146706,8,
1_207ASC0_1703_1807,193039,38.733918,-9.144647,9,
1_207ASC0_1807_1805,193039,38.738339,-9.145823,10,
1_207ASC0_1805_1903,193039,38.742781,-9.146696,11,
1_207ASC0_1903_2021,193039,38.745929,-9.147482,12,
1_207ASC0_2021_2001,193039,38.747447,-9.14785,13,
1_207ASC0_2001_2015,193039,38.74999,-9.148348,14,
1_207ASC0_2015_2017,193039,38.752318,-9.149647,15,
1_207ASC0_2017_5705,193039,38.755632,-9.151441,16,
1_207ASC0_5705_5805,193039,38.75859,-9.154033,17,
1_207ASC0_5805_5807,193039,38.7611,-9.157183,18,
1_207ASC0_5807_5811,193039,38.764567,-9.157,19,
1_207ASC0_5811_5901,193039,38.767189,-9.157922,20,
1_207ASC0_5901_5903,193039,38.770342,-9.15971,21,
1_207ASC0_5903_5905,193039,38.773466,-9.161261,22,
1_207ASC0_5905_5958,193039,38.774165,-9.159754,23,
1_207ASC0_5958_5913,193039,38.774183,-9.156867,24,
1_207ASC0_5913_11507,193039,38.774244,-9.152181,25,
1_207ASC0_11507_11501,193039,38.774611,-9.147399,26,
1_207ASC0_11501_11509,193039,38.777283,-9.146433,27,
1_207ASC0_11509_6018,193039,38.779867,-9.148383,28,
1_207ASC0_6018_6029,193039,38.784567,-9.1515,29,
1_207ASC0_6029_6020,193039,38.77963,-9.151659,30,
1_207ASC0_6020_11511,193039,38.777133,-9.146467,31,
1_207ASC0_11511_6016,193039,38.779044,-9.144791,32,
1_207ASC0_6016_6014,193039,38.783567,-9.14325,33,
1_207ASC0_6014_6006,193039,38.78545,-9.1432,34,
1_207ASC0_6006_6008,193039,38.787177,-9.144598,35,
1_207ASC0_6008_6010,193039,38.787883,-9.146167,36,
1_207ASC0_6010_6002,193039,38.787514,-9.149095,37,
1_207ASC0_6002_11602,193039,38.790399,-9.150646,38,
1_207ASC0_11602_11608,193039,38.792433,-9.15025,39,
1_207ASC0_11608_11610,193039,38.794083,-9.152,40,
1_207ASC0_11610_16004,193039,38.796,-9.149367,41,
1_207ASC0_16004_16002,193039,38.798517,-9.147283,42,
1_207ASC0_16002_16001,193039,38.798043,-9.145343,43,
1_207DESC0_16001_16003,193040,38.7987,-9.14765,1,
